allocine_id,titre,annee,acteur
45033,Ecole paternelle,2003,Anjelica Huston
45033,Ecole paternelle,2003,Steve Zahn
1874,L'Enfer est à lui,2003,James Cagney
1874,L'Enfer est à lui,2003,Virginia Mayo
1874,L'Enfer est à lui,2003,Edmond O'Brien
5459,Le Roman de Renart,2003,Claude Dauphin
5459,Le Roman de Renart,2003,Romain Bouquet
5459,Le Roman de Renart,2003,Sylvain Itkine
48104,Les Aventures de Porcinet,2003,John Fiedler
48104,Les Aventures de Porcinet,2003,Jim Cummings
48104,Les Aventures de Porcinet,2003,Ken Sansom
53229,"Le chien, le général et les oiseaux",2003,Philippe Noiret
5876,La Première folie des Monty Python,2003,Terry Gilliam
5876,La Première folie des Monty Python,2003,Michael Palin
5876,La Première folie des Monty Python,2003,Terry Jones
26678,Un Jour de plus,2003,Ali Hosseini
26678,Un Jour de plus,2003,Leyla Saadi
26678,Un Jour de plus,2003,Alireza Jamali
50768,"L'Inde, royaume du tigre",2003,Christopher Heyerdahl
42103,La Couleur du mensonge,2003,Nicole Kidman
42103,La Couleur du mensonge,2003,Anthony Hopkins
42103,La Couleur du mensonge,2003,Gary Sinise
26880,Freddy contre Jason,2003,Robert Englund
26880,Freddy contre Jason,2003,Ken Kirzinger
26880,Freddy contre Jason,2003,Kelly Rowland
43359,La Morsure du lézard,2003,Sigourney Weaver
43359,La Morsure du lézard,2003,Jon Voight
43359,La Morsure du lézard,2003,Shia LaBeouf
53828,Le Furet,2003,Jacques Villeret
53828,Le Furet,2003,Michel Serrault
53828,Le Furet,2003,Karl Zéro
34194,France boutique,2003,Karin Viard
34194,France boutique,2003,Judith Godrèche
34194,France boutique,2003,Hélène Fillières
46729,"Anything else, la vie et tout le reste",2003,Woody Allen
46729,"Anything else, la vie et tout le reste",2003,Jason Biggs
46729,"Anything else, la vie et tout le reste",2003,Christina Ricci
48323,Hop,2003,Jan Decleir
48323,Hop,2003,Antje De Boeck
48323,Hop,2003,Mbuyi Kalomba
42557,In This World,2003,Jamal Udin Torabi
42557,In This World,2003,Enayatullah
42557,In This World,2003,Imran Paracha
38714,Carmen,2003,Julia Migenes
38714,Carmen,2003,Plácido Domingo
38714,Carmen,2003,Ruggero Raimondi
28546,Matrix Revolutions,2003,Keanu Reeves
28546,Matrix Revolutions,2003,Laurence Fishburne
28546,Matrix Revolutions,2003,Carrie-Anne Moss
50986,Zatoichi,2003,Takeshi Kitano
50986,Zatoichi,2003,Tadanobu Asano
