allocine_id,titre,titre_original,annee,tmdb_id,imdb_id,tmdb_titre,tmdb_titre_original,tmdb_annee,match_score,match_type
6000,Non ou la Vaine Gloire de commander,"",1990,103417,tt0100269,"Non, ou la Vaine Gloire de commander","Non, ou a Vã Glória de Mandar",1990,1,excellent
6001,Voir l'éléphant,"",1990,65908,tt0200265,Voir l'éléphant,Voir l'éléphant,1990,1,excellent
6028,58 minutes pour vivre,Die Hard 2,1990,1573,tt0099423,58 minutes pour vivre,Die Hard 2,1990,1,excellent
103522,Le Mari de la coiffeuse,"",1990,11796,tt0100112,Le Mari de la coiffeuse,Le Mari de la coiffeuse,1990,1,excellent
6030,Détour,Detour,1990,1051698,tt3144766,Détour Ceausescu,Détour Ceausescu,1990,0.833,incertain
28294,"Mado, poste restante","",1990,254561,tt0097802,"Mado, poste restante","Mado, poste restante",1990,1,excellent
29625,Promotion canapé,"",1990,79753,tt0100425,Promotion canapé,Promotion canapé,1990,1,excellent
6003,Présumé innocent,Presumed Innocent,1990,11092,tt0100404,Présumé innocent,Presumed Innocent,1990,1,excellent
67231,Metropolitan,"",1990,15389,tt0100142,Metropolitan,Metropolitan,1990,1,excellent
6053,Henry & June,"",1990,17993,tt0099762,Henry et June,Henry & June,1990,1,excellent
41149,La Semaine du sphinx,La Settimana della sfinge,1990,206800,tt0098294,La settimana della sfinge,La settimana della sfinge,1990,1,excellent
6079,Total Recall,"",1990,861,tt0100802,Total Recall,Total Recall,1990,1,excellent
6063,Taxi blues,Taksi-blyuz,1990,41842,tt0100757,Taxi blues,Такси-блюз,1990,1,excellent
38708,Jours de tonnerre,Days of Thunder,1990,2119,tt0099371,Jours de Tonnerre,Days of Thunder,1990,1,excellent
41957,Premiers pas dans la mafia,The Freshman,1990,10168,tt0099615,Premiers pas dans la mafia,The Freshman,1990,1,excellent
38194,"Jean Galmot, aventurier","",1990,5075,tt0099874,"Jean Galmot, aventurier","Jean Galmot, aventurier",1990,1,excellent
6083,Le Château de ma mère,"",1990,12717,tt0099266,Le Château de ma mère,Le Château de ma mère,1990,1,excellent
6103,"Pepi, Luci, Bom et les autres filles du quartier","Pepi, Luci, Bom y otras chicas del montón",1990,,"","","",,,aucun
122579,Les Matins chagrins,"",1990,568579,tt0097853,Les matins chagrins,Les matins chagrins,1990,1,excellent
6122,Ghost,"",1990,251,tt0099653,Ghost,Ghost,1990,1,excellent
29340,La Femme fardée,"",1990,315594,tt0099560,La Femme fardée,La Femme fardée,1990,1,excellent
32603,La Rage au coeur,To Sleep With Anger,1990,94725,tt0100791,La rage au cœur,To Sleep with Anger,1990,1,excellent
65062,Un compagnon de longue date,Longtime Companion,1990,39934,tt0100049,Un compagnon de longue date,Longtime Companion,1989,0.96,excellent
6147,Darkman,"",1990,9556,tt0099365,Darkman,Darkman,1990,1,excellent
30685,Air America,"",1990,11856,tt0099005,Air America,Air America,1990,1,excellent
6145,Europa Europa,"",1990,8996,tt0099776,"Europa, Europa",Europa Europa,1990,1,excellent
24184,La Putain du Roi,"",1990,71623,tt0100440,La Putain du roi,La Putain du roi,1990,1,excellent
6180,La Discrète,"",1990,66538,tt0099436,La Discrète,La Discrète,1990,1,excellent
